公司名稱,網址,標籤資訊,品牌名稱,主要產品,攤位號碼
InnoGrit Corporation,https://www.computextaipei.com.tw/zh-tw/exhibitor/BA4033C9E3CFD400E3FFE7E1A39FEBB7D0636733C6861689/info.html?lt=data&vt=show-area&cr=84,"DataCenter, Edge, Semiconductor",,"IC設計、封裝及代工,伺服器,固態硬碟,外接硬碟",
Innovision Multimedia Limited,https://www.computextaipei.com.tw/zh-tw/exhibitor/DA328B6919F85A72C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=86,"Gaming, Semiconductor",INNO3D,顯示卡,
KY Enterprises Limited,https://www.computextaipei.com.tw/zh-tw/exhibitor/5342249148D4120766B201C36669FF04D0636733C6861689/info.html?lt=data&vt=show-area&cr=95,"BigData, Cloud, DataCenter, Gaming, GenerativeAI",Samsung,"筆記型電腦,硬碟,固態硬碟,記憶卡,顯示卡,動態隨機存取記憶體,印表機,中央處理器 /圖形處理器/加速處理器",
LM TEK (ekwb.com),https://www.computextaipei.com.tw/zh-tw/exhibitor/B2254538622D2E25EBAFA644770A47EED0636733C6861689/info.html?lt=data&vt=show-area&cr=100,"AI, CyberSecurity, DataCenter, Gaming, Liquidcooling",EK,Liquid Cooling Components,
Lamel Technology Sp. z.o.o,https://www.computextaipei.com.tw/zh-tw/exhibitor/6D3D618CD11054F716AFB4F356442538D0636733C6861689/info.html?lt=data&vt=show-area&cr=101,"AirMobility, ChatBot, GenerativeAI, SmartCar, SmartRetail",MyScreen,手持裝置保護貼,
Leapfrog Distribution Pte Ltd,https://www.computextaipei.com.tw/zh-tw/exhibitor/120491A803C32B24C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=103,"AV, ConsumerTech, Gaming, Liquidcooling, WearableTech","ARMAGGEDDON, SONICGEAR, ALCATROZ","耳機及無線藍牙耳機,可攜式喇叭,電腦機殼,電腦散熱裝置及風扇,藍牙鍵盤及滑鼠,電競耳機/耳機麥克風/麥克風,電競其他週邊,電競螢幕",
"Lengda (Xiamen) Co., Ltd",https://www.computextaipei.com.tw/zh-tw/exhibitor/B97E96765E1DAFB1C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=105,"Embedded, Gaming, GenerativeAI",,"桌上型電腦,筆記型電腦,個人電腦主機板",
Lindenbridge Inc.,https://www.computextaipei.com.tw/zh-tw/exhibitor/5EAFFDAEE8F410486AA20250577E85F3D0636733C6861689/info.html?lt=data&vt=show-area&cr=107,"ChatBot, Gaming, ImmersiveExperiences, SmartCity, SmartHome",TCOMAS,"電腦散熱裝置及風扇,電腦用喇叭",
"Linkreal Co., Ltd.",https://www.computextaipei.com.tw/zh-tw/exhibitor/1AE036A8E7037ACD0ED9BBB8CFEA711ED0636733C6861689/info.html?lt=data&vt=show-area&cr=108,"BigData, CyberSecurity, DataCenter, Edge, Embedded",LR-LINK,"崁入式系統及周邊,磁碟陣列,外接硬碟,記憶卡,網路卡",
M3 mobile,https://www.computextaipei.com.tw/zh-tw/exhibitor/DA8515C34C8EB5F2C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=111,"5G&Beyond, CyberSecurity, Evs, SharedMobilityServices, SmartRetail","Price Checker PC10,Ring Scanner WR10,US30","多媒體機台,條碼盤點機,條碼讀取機,條碼及QR Code閱讀系統",
MINIX TECHNOLOGY LIMITED,https://www.computextaipei.com.tw/zh-tw/exhibitor/D58B21BC68C08A4216AFB4F356442538D0636733C6861689/info.html?lt=data&vt=show-area&cr=115,,MINIX,"mini pc,GaN Chargers,Carplay,Portable monitors,Wireless Dongle",
Macro Image Technology,https://www.computextaipei.com.tw/zh-tw/exhibitor/3BFC8527D4A2F7019FA5D07724A13ACCD0636733C6861689/info.html?lt=data&vt=show-area&cr=117,"Embedded, Semiconductor, SmartCar, SmartHome, VR","MDIN,,",IC設計、封裝及代工,
MaxLinear,https://www.computextaipei.com.tw/zh-tw/exhibitor/AD9F17FF0E0ADD19B3E853C15EA402C6D0636733C6861689/info.html?lt=data&vt=show-area&cr=119,"BigData, DataCenter, EdgeComputing, Semiconductor, SmartHome, WiFi7",Panther,IC設計、封裝及代工,
"Mobilint, Inc.",https://www.computextaipei.com.tw/zh-tw/exhibitor/56CEFD5C2D01842766B201C36669FF04D0636733C6861689/info.html?lt=data&vt=show-area&cr=126,"Edge, Embedded, Semiconductor, SmartCity, SmartHome","MLA100,REGULUS,","系統單晶片,中央處理器 /圖形處理器/加速處理器,邊緣運算,生成式 AI / 大型語言模型",
"NINGBO TURN-LINK NETWORK COMMUNICATION EQUIPMENT CO., LTD",https://www.computextaipei.com.tw/zh-tw/exhibitor/E2C3CB80DB3BA0C50ED9BBB8CFEA711ED0636733C6861689/info.html?lt=data&vt=show-area&cr=131,"5G&Beyond, BigData, DataCenter",,其他網通產品,
NVIDIA,https://www.computextaipei.com.tw/zh-tw/exhibitor/15FE4C2807DD9659C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=133,"BigData, Edge, GenerativeAI, Semiconductor",,中央處理器 /圖形處理器/加速處理器,
NX Electronics Limited,https://www.computextaipei.com.tw/zh-tw/exhibitor/39F7EC87926D247FC8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=134,"Cloud, DataCenter, EnergyStorage, Gaming, Semiconductor",,"硬碟,固態硬碟,記憶卡,顯示卡,動態隨機存取記憶體,中央處理器 /圖形處理器/加速處理器,電競記憶卡,AI 伺服器",
Network Optix,https://www.computextaipei.com.tw/zh-tw/exhibitor/A8045C65C0FC4AB466B201C36669FF04D0636733C6861689/info.html?lt=data&vt=show-area&cr=140,"AI, Cloud, Edge, Embedded, IoT, SmartCity",Network Optix,"監視系統,雲端及資訊系統服務,開源開發硬體/軟體,IP/數位監控,邊緣運算",
POS TEKTRONICS LTD,https://www.computextaipei.com.tw/zh-tw/exhibitor/20516836A29C85408608BDEDC4383428D0636733C6861689/info.html?lt=data&vt=show-area&cr=151,SmartRetail,Babal,"銷售點管理系統,多媒體機台,條碼讀取機,行動 POS,POS 印表機,POS 配件",
POSBANK,https://www.computextaipei.com.tw/zh-tw/exhibitor/06E69F9E9EBE9EB7C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=152,"DataCenter, Embedded, SmartCity, SmartRetail","POSBANK, MAZIC, BIGPOS","平板電腦,銷售點管理系統,多媒體機台,讀卡機,POS 印表機,POS 配件,POS PC ,行動支付",
PROKS SIA,https://www.computextaipei.com.tw/zh-tw/exhibitor/6D3D618CD11054F766B201C36669FF04D0636733C6861689/info.html?lt=data&vt=show-area&cr=153,"DataCenter, Semiconductor",PROKS,"中央處理器,硬碟,固態硬碟",
RRC Power Solutions Ltd.,https://www.computextaipei.com.tw/zh-tw/exhibitor/3A97C72EB04902EB8608BDEDC4383428D0636733C6861689/info.html?lt=data&vt=show-area&cr=165,Embedded,RRC,"崁入式系統及周邊,工業用電腦主機板",
SD Association,https://www.computextaipei.com.tw/zh-tw/exhibitor/33229206824BE422C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=172,"AR/VR/MR/XR, IoT, Mobile",,.,
SHENZHEN MEIGAO ELECTRON,https://www.computextaipei.com.tw/zh-tw/exhibitor/CE3772FC207E6C2CEBAFA644770A47EED0636733C6861689/info.html?lt=data&vt=show-area&cr=175,"BigData, ChatBot, Gaming, GenerativeAI, SmartHome","MINISFORUM, AtomMan","平板電腦,直播解決方案,工作站,準系統及迷你電腦,桌上型電腦,個人電腦主機板,邊緣運算",
SK海力士,https://www.computextaipei.com.tw/zh-tw/exhibitor/717BBA62C72961069FA5D07724A13ACCD0636733C6861689/info.html?lt=data&vt=show-area&cr=177,"DataCenter, Gaming, GenerativeAI, Semiconductor","Beetle X31,Platinum 41","固態硬碟,動態隨機存取記憶體,汽車晶片及定速巡航系統,生成式 AI / 大型語言模型",
Secure-IC,https://www.computextaipei.com.tw/zh-tw/exhibitor/AAF3BFDDE7BF75160ED9BBB8CFEA711ED0636733C6861689/info.html?lt=data&vt=show-area&cr=182,,,"崁入式系統及周邊,SecuryzrTM",
"Shenzhen Kstar Science&Technology Co.,Ltd",https://www.computextaipei.com.tw/zh-tw/exhibitor/CD795DCC6126BECE16AFB4F356442538D0636733C6861689/info.html?lt=data&vt=show-area&cr=185,"Cloud, CyberSecurity, DataCenter, Edge, EnergyStorage","KSTAR,,",.,
Skyquad Electronics,https://www.computextaipei.com.tw/zh-tw/exhibitor/56CEFD5C2D018427E3FFE7E1A39FEBB7D0636733C6861689/info.html?lt=data&vt=show-area&cr=186,"5G&Beyond, Embedded, SATCOM, SmartCity, SmartHome","Jio, Askey, Comtrend,Firebolt,Skyworth, TCL","LED TV,Wifi Routers,Smart Watches",
Store974,https://www.computextaipei.com.tw/zh-tw/exhibitor/95B96889A23315B7CAADCF7FDE6C69A7D0636733C6861689/info.html?lt=data&vt=show-area&cr=192,,"Store974, Epic Gamers","電競螢幕,電競鍵盤,電競滑鼠,Racing Simulator Cockpit,Gaming Table,Gaming Chair",
Sunrich Technology (H.K.) Limited,https://www.computextaipei.com.tw/zh-tw/exhibitor/26296BC95AFD3742C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=194,"BigData, Cloud, DataCenter, Edge",ST Lab,"音效卡,其他附加及介面卡,USB介面轉接頭、線材及集線器,藍牙傳輸器及接收器,網路交換器,網路卡,USB-C 傳輸線/充電器/轉接頭/集線器",
Synaptics Inc.,https://www.computextaipei.com.tw/zh-tw/exhibitor/99392F3170D2F156C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=196,"Edge, Semiconductor, SmartHome",,"嵌入式處理器,IC設計、封裝及代工,耳麥,觸控顯示器及面板,藍牙傳輸器及接收器,全球定位系統,ZigBee 傳輸器及接收器",
"SystemBase Co., Ltd.",https://www.computextaipei.com.tw/zh-tw/exhibitor/6CDBEAB368678F1BC8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=197,"Embedded, Semiconductor, SmartCity, SmartHome, SmartRetail","HaLowGate,HubGate","IC設計、封裝及代工,伺服器,網路集線器,閘道器,無線存取點 / 橋接器,其他網通產品,Wi-Fi 連接裝置 / 模組",
Telit Cinterion,https://www.computextaipei.com.tw/zh-tw/exhibitor/5D9BB2FB9B9947E4B3E853C15EA402C6D0636733C6861689/info.html?lt=data&vt=show-area&cr=201,"5G&Beyond, CyberSecurity",Telit Cinterion,"低功耗廣域網路模組,工業物聯網平台,無線廣域通訊介面卡/模組,5G/5G-A/6G 相關產品,Wi-Fi 連接裝置 / 模組",
Thonet & Vander GmbH,https://www.computextaipei.com.tw/zh-tw/exhibitor/9EF4943549FE94DF8608BDEDC4383428D0636733C6861689/info.html?lt=data&vt=show-area&cr=205,"Gaming, SmartHome, SmartRetail",Thonet & Vander,"耳機及無線藍牙耳機,耳麥,可攜式喇叭,藍牙及Wi-Fi無線喇叭,USB介面轉接頭、線材及集線器,藍牙傳輸器及接收器,電競喇叭,電競耳機/耳機麥克風/麥克風",
"Topdisk Enterprise Co., Ltd.",https://www.computextaipei.com.tw/zh-tw/exhibitor/4CC7BE87003677609FA5D07724A13ACCD0636733C6861689/info.html?lt=data&vt=show-area&cr=206,"5G&Beyond, DataCenter, Gaming, GenerativeAI, Semiconductor",,"固態硬碟,外接硬碟,隨身碟,記憶卡,其他電腦儲存裝置及媒體,OTG 轉接頭/集線器/隨身碟",
"Transound Electronics Co., LTD",https://www.computextaipei.com.tw/zh-tw/exhibitor/6F8674519C3346F5E3FFE7E1A39FEBB7D0636733C6861689/info.html?lt=data&vt=show-area&cr=209,Gaming,Transound Electronics,"電競喇叭,電競耳機/耳機麥克風/麥克風",
TwinMOS Technologies,https://www.computextaipei.com.tw/zh-tw/exhibitor/C9601E2E2373D673CAADCF7FDE6C69A7D0636733C6861689/info.html?lt=data&vt=show-area&cr=210,"Gaming, Semiconductor",TwinMOS,"SSD,DRAM and peripherals",
USB Implementers Forum,https://www.computextaipei.com.tw/zh-tw/exhibitor/26DB1AA97E811E10C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=211,Semiconductor,"USB Type-C, USB Power Delivery, USB4","GaN/SiC USB 充電器,電腦線材及連接器",
Unitek International Group Limited,https://www.computextaipei.com.tw/zh-tw/exhibitor/E0AD5B26B7BC167B6AA20250577E85F3D0636733C6861689/info.html?lt=data&vt=show-area&cr=213,"Gaming, SmartHome",UNITEK,"電源適配器,行動電源,手持裝置充電器,其他電腦周邊,USB介面轉接頭、線材及集線器,OTG 轉接頭/集線器/隨身碟,USB-C 傳輸線/充電器/轉接頭/集線器,GaN/SiC USB 充電器",
"WT Telecommunication Co.,Ltd",https://www.computextaipei.com.tw/zh-tw/exhibitor/67AE87C2B4E12012C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=218,5G&Beyond,,"媒體轉換器,其他網通產品,光纖",
Western Digital,https://www.computextaipei.com.tw/zh-tw/exhibitor/742C9A5CD320FF9C16AFB4F356442538D0636733C6861689/info.html?lt=data&vt=show-area&cr=220,"BigData, Cloud, DataCenter, Edge",,"OpenFlex Data24,RapidFlex,Data102,Ultrastar,Transporter",
Wi-Charge,https://www.computextaipei.com.tw/zh-tw/exhibitor/0786F113EC86FC9F6AA20250577E85F3D0636733C6861689/info.html?lt=data&vt=show-area&cr=221,"SmartCity, SmartHome, SmartRetail","Wi-Spot, Wi-Poster, Wi-Qi","手機,電子書閱讀器,無線音源接收器 / 轉換器 / 發射器,無線HDMI接收器 / 轉換器 / 發射器,快速充電技術,VR/AR/MR 應用",
XELA Robotics,https://www.computextaipei.com.tw/zh-tw/exhibitor/6F17F136ECE2C2E48608BDEDC4383428D0636733C6861689/info.html?lt=data&vt=show-area&cr=222,"FoodTech, Logistics, ManufacturingTech",XELA,tactile sensors,
XOC Technologies Inc,https://www.computextaipei.com.tw/zh-tw/exhibitor/6F8674519C3346F5B3E853C15EA402C6D0636733C6861689/info.html?lt=data&vt=show-area&cr=223,Gaming,,"電腦機殼,固態硬碟,動態隨機存取記憶體,電競螢幕,電競桌上型電腦",
XSLAB Inc.,https://www.computextaipei.com.tw/zh-tw/exhibitor/9EBF1CB815AFB1838608BDEDC4383428D0636733C6861689/info.html?lt=data&vt=show-area&cr=224,"BigData, DataCenter, Edge","V-Raptor, VORA","ARM Server, Edge AI",
YBM Bilgisayar Muhendisl,https://www.computextaipei.com.tw/zh-tw/exhibitor/742C9A5CD320FF9CE3FFE7E1A39FEBB7D0636733C6861689/info.html?lt=data&vt=show-area&cr=226,"Embedded, Gaming",Wraith,"電競鍵盤,電競滑鼠",
ZOTAC Technology Pte. Limited,https://www.computextaipei.com.tw/zh-tw/exhibitor/1150BBB13C282649C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=227,"Edge, Embedded, Gaming, GenerativeAI, ImmersiveExperiences","ZOTAC, ZOTAC GAMING, PCP Solutions","伺服器,準系統及迷你電腦,工業用電腦,顯示卡,邊緣運算,遊戲掌機",
"Zalman Tech Co., Ltd.",https://www.computextaipei.com.tw/zh-tw/exhibitor/B26DD2EE22523A22C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=228,"Gaming, SmartHome",Zalman,"電腦機殼,電腦電源,電腦散熱裝置及風扇,其他電腦零組件,水冷式散熱系統",
Zoho Corporation Pte Ltd,https://www.computextaipei.com.tw/zh-tw/exhibitor/CAB2F62DC85B864C6AA20250577E85F3D0636733C6861689/info.html?lt=data&vt=show-area&cr=229,"ChatBot, Cloud, GenerativeAI",Zoho,"應用軟體,商務及文書軟體,雲端及資訊系統服務,智慧商業服務",
bp Castrol,https://www.computextaipei.com.tw/zh-tw/exhibitor/56CEFD5C2D0184279FA5D07724A13ACCD0636733C6861689/info.html?lt=data&vt=show-area&cr=231,"Cloud, DataCenter, Edge, Gaming",",,",.,
loop international limited,https://www.computextaipei.com.tw/zh-tw/exhibitor/98D213E058A18D94C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=242,Gaming,",,","準系統及迷你電腦,桌上型電腦,電腦機殼",
nVent,https://www.computextaipei.com.tw/zh-tw/exhibitor/1CC8FD621FE6BF60E3FFE7E1A39FEBB7D0636733C6861689/info.html?lt=data&vt=show-area&cr=243,"DataCenter, Liquidcooling",nVent,"電腦散熱裝置及風扇,水冷式散熱系統,AI 氣冷/水冷/液冷散熱系統,AI 電腦散熱裝置及風扇",
三岩成光製造有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/B8B9C6F8F187D13FC8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=248,other,,其他電腦周邊,
三共企業股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/7F7A0910D746FF79C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=250,other,,其他電腦零組件,
三泰科技股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/C929122CF4CC56C5C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=251,"AI, DataCenter, SmartCar",SUNIX,電腦散熱裝置及風扇,
三璟股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/5955AD8B8092A683C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=252,other,,,
上海六聯智能科技有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/DFC57EFFE8CABB676AA20250577E85F3D0636733C6861689/info.html?lt=data&vt=show-area&cr=254,QuantumComputing,SIXUNITED,"平板電腦,準系統及迷你電腦,桌上型電腦,筆記型電腦,5G/5G-A/6G 相關產品",
世慶實業股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/B5125F1DA4530B55C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=256,DigitalTwin,Forta,"投影機,可攜式喇叭,掃描器,車用充電器",
世紀自動化股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/2D54C33663DAAF40C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=257,"AI, AI Service, HPC",CPC（Colder Products Company）,水冷快速接頭,
中環股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/2DE9EE119831D87BC8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=259,"EnergyStorage, SharedMobilityServices, SmartHome, SmartRetail",,固態硬碟,
中美萬泰科技股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/22E2AC1077055026C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=260,"AI, EdgeComputing, Embedded, SI, WiFi7",Wincomm,"工業用電腦,邊緣運算",
中華資安國際股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/31860FE29381D915C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=263,"AI, Security",SecuTex,雲端及資訊系統服務,
丹立電子股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/C7C7FE48D209DF76C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=264,EdgeComputing,,"記憶卡,邊緣運算",
主向位科技股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/FF410D1BF6CFDBE7C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=265,"Embedded, SI, SmartCity, WiFi7, other",CTC Union,網路交換器,
之新股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/FF002078DAF5810EC8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=267,"Security, WiFi7",Emt,"自動及工業控制器模組,工業用電腦主機板,其他附加及介面卡",
乾羅科技股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/AAE5D74BC48CF0F3C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=269,"Cloud, DataCenter, Gaming, Security, Semiconductor",PMC,,
亞土科技股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/5EBF5EDF32223A61C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=271,Gaming,,,
